ID,crawl_mos,walk_mos,X,to_sleep,awake,sleep_hrs,childcare
2,7.53,11.28,3.75,20:30,7:00,10:30,Person
3,7.03,11.05,4.02,20:45,7:20,10:35,Center
5,8.48,11.57,3.09,19:30,6:30,11:00,Both
6,12.59,16.57,3.98,19:45,7:15,11:30,Center
7,7.2,11.67,4.47,20:30,7:00,10:30,None
9,8.1,13,4.9,16:00,6:45,14:45,Person
10,8,11.18,3.18,18:15,5:30,11:15,Both
11,N/A,12.06,NA,18:45,5:00,10:15,Person
12,7.46,12.49,5.03,19:20,6:00,10:40,Center
13,7.76,11.14,3.38,19:00,5:45,10:45,Person
14,N/A,12.16,NA,19:00,7:00,12:00,Person
15,7.13,11.24,4.11,20:00,6:00,10:00,Person
16,5.03,10.22,5.19,19:30,6:00,10:30,None
17,5.98,9.96,3.98,20:30,7:30,11:00,Person
18,8.68,14,5.32,18:45,5:30,10:45,Center
19,6.97,12.2,5.23,19:30,6:15,10:45,Person
20,8.97,NA,NA,19:20,3:00,7:40,Person
